"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification"
"3942427235","true","2016-10-13 00:00:00.000","-83.22022","29.45712","1.0","8","gps","","7","2671-02021","grcaMigration-Ryder","50"
"3942427236","true","2016-10-16 00:00:00.000","-83.22031","29.45695","1.4","6","gps","","7","2671-02021","grcaMigration-Ryder","50"
"3942427237","true","2016-10-19 00:00:00.000","-83.22036","29.45706","1.1","6","gps","","7","2671-02021","grcaMigration-Ryder","50"
"3942427238","true","2016-10-25 00:00:00.000","-81.68326","22.30624","1.3","5","gps","","7","2671-02021","grcaMigration-Ryder","40"
"3942427239","true","2016-10-31 00:00:00.000","-81.67843","22.3115","4.3","5","gps","","7","2671-02021","grcaMigration-Ryder","40"
"3942427240","true","2016-11-15 00:00:00.000","-81.5437","22.69425","2.8","5","gps","","7","2671-02021","grcaMigration-Ryder","140"
"3942427241","true","2016-12-13 00:00:00.000","-81.63831","22.67026","7.2","5","gps","","7","2671-02021","grcaMigration-Ryder","30"
"3942427242","true","2016-12-27 00:00:00.000","-82.48252","22.79966","2.2","5","gps","","7","2671-02021","grcaMigration-Ryder","140"
"3942427243","true","2017-01-10 00:00:00.000","-82.41254","22.80781","2.2","4","gps","","7","2671-02021","grcaMigration-Ryder","140"
"3942427244","true","2017-01-17 00:00:00.000","-82.4127","22.80844","1.2","6","gps","","7","2671-02021","grcaMigration-Ryder","140"
